canonical_smiles,standard_value,log_papp
C#Cc1cccc(Nc2ncnc3cc4c(cc23)OCCO4)c1,16.9,1.2278867046136734
C#Cc1cccc(Nc2ncnc3cc4c(cc23)OCCO4)c1F,21.5,1.3324384599156054
C#Cc1cnc2nc(O)n(C(CC)CC)c2n1,50.0,1.6989700043360187
C#Cc1n[nH]c2c(-c3cn(C(C)c4ccccc4)c(=O)[nH]c3=O)cc(F)cc12,27.299999999999997,1.436162647040756
C#Cc1n[nH]c2c(-c3cn(C(C)c4ccccn4)c(=O)[nH]c3=O)cc(F)cc12,37.946666666666665,1.5791736323565655
C#Cc1nc(Nc2cccc(CC(N)=O)c2)nc2[nH]cnc12,2.56385,0.40889261286007816
C#Cc1nn(-c2cc(Cl)c(Oc3cc(C(C)C)c(=O)[nH]n3)c(Cl)c2)c(=O)[nH]c1=O,0.3,-0.5228787452803376
C(=N/Nc1nnc(-c2cccs2)c(-c2cccs2)n1)\c1cc2ccccc2[nH]1,0.53,-0.27572413039921095
C/C(=C\c1cc(F)c(OCCCF)cc1F)C(=O)N[C@@H]1[C@H](O)[C@@H](O)[C@H]2OCO[C@H]2[C@@H]1O,3.4000000000000004,0.5314789170422551
C/C(=C\c1cc(F)c(OCCCF)cc1F)C(=O)N[C@@H]1[C@H](O)[C@@H](O)[C@H]2OCO[C@H]2[C@@H]1OCc1ccccc1C#N,12.25,1.0881360887005513
C/C(=C\c1cc(F)c(OCCCF)cc1F)C(=O)N[C@H]1[C@@H](O)[C@@H]2OCO[C@@H]2[C@H](O)[C@H]1OCc1ccccc1,12.0,1.0791812460476249
C/C(=N\NC(=N)N)c1ccc(NC(=O)Nc2ccc(OC3CCCCCC3)cc2)cc1,25.9695,1.4144635880840064
C/C(=N\NC(=N)N)c1cnn(-c2ccc(C#CC3CCCC3)cc2)c1C,0.01,-2.0
C/C(=N\NC(=N)N)c1sc(-c2ccc(-c3ccccc3)cc2)nc1C,0.6,-0.2218487496163564
C/C(=N\NC(=S)N(C)C)c1ccccn1,10.6,1.0253058652647702
C/C(=N\NC(=S)N1CCC1)c1ccccn1,4.4,0.6434526764861874
C/C(=N\NC1=NCCN1)c1cnn(-c2ccc(C#CC3CCCC3)cc2)c1C,0.125,-0.9030899869919435
C/C(=N\NCCCN1C(=O)S/C(=C\c2ccc(OCc3ccccc3)cc2)C1=O)c1cccs1,12.14,1.0842186867392387
